Stock Name,close,date,high,low,month,open,volume,source_file,Stock,Sector,Daily_Return,Volatility (%)
TRENT,5568.0,,5626.45,5470.05,2024-07,5610.0,425869,2024-07-10_05-30-00.yaml,extracted_stock_data,,-0.0044431729797868,2.147658111094666
TRENT,5568.0,,5626.45,5470.05,2024-07,5610.0,425869,2024-07-10_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.141863506136674
TRENT,5635.25,,5663.0,5545.0,2024-07,5545.0,578262,2024-07-11_05-30-00.yaml,extracted_stock_data,,0.0120779454022987,2.158139585989647
TRENT,5635.25,,5663.0,5545.0,2024-07,5545.0,578262,2024-07-11_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.158518236268221
TRENT,5651.25,,5696.0,5611.1,2024-07,5664.9,476682,2024-07-12_05-30-00.yaml,extracted_stock_data,,0.0028392706623485,2.078720531308731
TRENT,5651.25,,5696.0,5611.1,2024-07,5664.9,476682,2024-07-12_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.9682582658345535
TRENT,5675.55,,5754.95,5645.75,2024-07,5690.0,498397,2024-07-15_05-30-00.yaml,extracted_stock_data,,0.0042999336429994,1.9918960657615967
TRENT,5675.55,,5754.95,5645.75,2024-07,5690.0,498397,2024-07-15_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.0004535234650653
TRENT,5647.3,,5725.45,5627.35,2024-07,5699.95,641858,2024-07-16_05-30-00.yaml,extracted_stock_data,,-0.0049774911682568,1.917371163765776
TRENT,5647.3,,5725.45,5627.35,2024-07,5699.95,641858,2024-07-16_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.811697511249713
TRENT,5308.5,,5660.25,5282.95,2024-07,5649.9,1342486,2024-07-18_05-30-00.yaml,extracted_stock_data,,-0.0599932711207126,1.8846896051422584
TRENT,5308.5,,5660.25,5282.95,2024-07,5649.9,1342486,2024-07-18_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.954465950061824
TRENT,5166.35,,5308.5,5106.05,2024-07,5308.5,879290,2024-07-19_05-30-00.yaml,extracted_stock_data,,-0.0267778091739662,2.2179975159784715
TRENT,5166.35,,5308.5,5106.05,2024-07,5308.5,879290,2024-07-19_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.4502173626069137
TRENT,5210.2,,5238.95,5083.55,2024-07,5110.0,631260,2024-07-22_05-30-00.yaml,extracted_stock_data,,0.0084876169829761,2.6784824987025675
TRENT,5210.2,,5238.95,5083.55,2024-07,5110.0,631260,2024-07-22_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.880577998574644
TRENT,5263.8,,5310.25,4955.65,2024-07,5210.2,763626,2024-07-23_05-30-00.yaml,extracted_stock_data,,0.0102875129553567,3.008061686447885
TRENT,5263.8,,5310.25,4955.65,2024-07,5210.2,763626,2024-07-23_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.123388201353847
TRENT,5286.85,,5380.0,5263.1,2024-07,5285.0,711861,2024-07-24_05-30-00.yaml,extracted_stock_data,,0.0043789657661765,3.2075579259477798
TRENT,5286.85,,5380.0,5263.1,2024-07,5285.0,711861,2024-07-24_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.282854186163327
TRENT,5309.95,,5335.45,5226.0,2024-07,5274.9,302964,2024-07-25_05-30-00.yaml,extracted_stock_data,,0.0043693314544577,3.3390660586381924
TRENT,5309.95,,5335.45,5226.0,2024-07,5274.9,302964,2024-07-25_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.390756641145424
TRENT,5393.35,,5411.55,5325.0,2024-07,5360.0,336310,2024-07-26_05-30-00.yaml,extracted_stock_data,,0.0157063625834519,3.3785479915499788
TRENT,5393.35,,5411.55,5325.0,2024-07,5360.0,336310,2024-07-26_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.361456586935881
TRENT,5517.4,,5549.95,5365.0,2024-07,5414.95,533654,2024-07-29_05-30-00.yaml,extracted_stock_data,,0.0230005469698795,3.324962153022124
TRENT,5517.4,,5549.95,5365.0,2024-07,5414.95,533654,2024-07-29_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.2867337113673747
TRENT,5620.5,,5660.0,5520.0,2024-07,5550.0,789712,2024-07-30_05-30-00.yaml,extracted_stock_data,,0.0186863377677892,3.3002631215823466
TRENT,5620.5,,5660.0,5520.0,2024-07,5550.0,789712,2024-07-30_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.31364830628186
TRENT,5839.0,,5919.3,5625.05,2024-07,5625.05,1671711,2024-07-31_05-30-00.yaml,extracted_stock_data,,0.0388755448803488,3.5212048994384744
TRENT,5839.0,,5919.3,5625.05,2024-07,5625.05,1671711,2024-07-31_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.709777606897465
